century,period,dominant_color,count
20,'50-'55,#f9fbf6,1.0
20,'55-'60,#ffffff,2.0
20,'60-'65,#ffffff,1.0
20,'65-'70,#fdfae9,1.0
20,'70-'75,#fce5d5,1.0
20,'75-'80,#f33b20,1.0
20,'80-'85,#ffffff,1.0
20,'85-'90,#f5f4f0,1.0
20,'90-'95,#ffffff,3.0
20,'95-'99,#e2e3df,1.0
21,'0-'5,#ffffff,274.0
21,'5-'10,#ffffff,3190.0
21,'10-'15,#ffffff,5131.0
21,'15-'20,#ffffff,1435.0
21,'20-'25,,
21,'25-'30,,
21,'30-'35,,
21,'35-'40,,
21,'40-'45,,
21,'45-'50,,
21,'50-'55,,
21,'55-'60,,
21,'60-'65,,
21,'65-'70,,
21,'70-'75,,
21,'75-'80,,
21,'80-'85,,
21,'85-'90,,
21,'90-'95,,
21,'95-'99,,
